word,translation,phonetic,type,example_en,example_cn,tags
presentation,陈述，介绍,,noun,His presentation was clear and professional.,他的演示清晰且专业。,"附加词汇"
winner,胜利者，优胜者,,noun,The winner of the competition received a prize.,比赛的获胜者获得了一份奖品。,"附加词汇"
commence,开始；倡导,,verb,The meeting will commence at 9 AM sharp.,会议将于上午9点整开始。,"附加词汇"
precisely,正好；精确地；明确地,,adverb,The train arrived precisely on time.,火车准点到达。,"附加词汇"
follow,接着；跟随,,verb,Please follow me to the conference room.,请跟我去会议室。,"附加词汇"
sports complex,体育中心,,noun,They are building a new sports complex.,他们正在建造一个新的体育中心。,"附加词汇"
accommodate,容纳,,verb,The hotel can accommodate up to 500 guests.,这家酒店最多可容纳500位客人。,"附加词汇"
Olympic-sized,奥运会规格的,,adjective,The hotel features an Olympic-sized swimming pool.,这家酒店拥有一个奥运会规格的游泳池。,"附加词汇"
facility,设施,,noun,The gym has modern fitness facilities.,这家健身房有现代化的健身设施。,"附加词汇"
include,包括,,verb,The price includes breakfast and Wi-Fi.,价格包含早餐和无线网络。,"附加词汇"
fitness center,健身中心,,noun,Guests have free access to the fitness center.,客人可以免费使用健身中心。,"附加词汇"
spa,温泉浴场,,noun,She relaxed at the hotel spa.,她在酒店的温泉浴场放松。,"附加词汇"
to name just a few,举些例子,,phrase,We offer coffee, tea, and juice, to name just a few.,我们提供咖啡、茶和果汁，这只是其中几样。,"附加词汇"
put through,使通过；使经受,,verb phrase,Could you put me through to Mr. Smith?,能帮我转接给史密斯先生吗？,"附加词汇"
a number of,若干，一些，许多,,phrase,A number of employees attended the workshop.,许多员工参加了研讨会。,"附加词汇"
stringent,严格的，严厉的,,adjective,The factory has stringent quality controls.,这家工厂有严格的质量控制。,"附加词汇"
release,发售,,noun/verb,The new smartphone will be released next month.,这款新智能手机将于下个月发布。,"附加词汇"
role,作用；角色,,noun,Everyone played a key role in the project.,每个人都在项目中扮演了关键角色。,"附加词汇"
look for,寻找,,phrase,I am looking for my keys.,我在找我的钥匙。,"附加词汇"
right,合适的；正确的,,adjective,This is the right tool for the job.,这是完成这项工作的合适工具。,"附加词汇"
take over,接管，接替,,verb phrase,He will take over as manager next week.,他将于下周接任经理。,"附加词汇"
leave,离职；离开,,verb,She decided to leave the company.,她决定离开公司。,"附加词汇"
unanimously,无异议地，全体一致地,,adverb,The proposal was approved unanimously.,该提案获得一致通过。,"附加词汇"
perform,执行，完成,,verb,She performs her duties with great care.,她非常细心地履行职责。,"附加词汇"
favorable,有利的；良好的,,adjective,We received favorable feedback from clients.,我们收到了客户的良好反馈。,"附加词汇"
circumstance,情况，形势；环境,,noun,We must adapt to the new circumstances.,我们必须适应新的环境。,"附加词汇"
strike,罢工,,noun/verb,The transport workers went on strike.,交通运输工人罢工了。,"附加词汇"
plant,工厂,,noun,The company opened a new manufacturing plant.,公司开设了一家新的制造工厂。,"附加词汇"
show up to work,上班,,phrase,All staff showed up to work on time.,所有员工都准时上班了。,"附加词汇"
afterwards,然后，后来,,adverb,We had dinner and went to a movie afterwards.,我们吃了晚饭，然后去看电影了。,"附加词汇"
general hospital,综合医院；总医院,,noun,He was taken to the general hospital.,他被送往了综合医院。,"附加词汇"
opening,(职位)空缺,,noun,There is an opening for an accountant.,有一个会计的职位空缺。,"附加词汇"
certified,被鉴定的,,adjective,She is a certified public accountant.,她是一名注册会计师。,"附加词汇"
immediately,立刻，马上,,adverb,Please reply to this message immediately.,请立即回复这条消息。,"附加词汇"
have a sale,廉价出售,,phrase,The clothing store is having a big sale.,这家服装店正在大减价。,"附加词汇"
with savings of up to,节省到,,phrase,Enjoy discounts with savings of up to 50%.,享受高达50%的折扣。,"附加词汇"
clothing,衣服,,noun,They sell children's clothing.,他们出售儿童服装。,"附加词汇"
in celebration of,为庆祝…,,phrase,We held a party in celebration of the success.,我们举办了一场派对来庆祝成功。,"附加词汇"
anniversary,周年纪念日,,noun,They celebrated their wedding anniversary.,他们庆祝了结婚纪念日。,"附加词汇"
conduct a survey,做调查,,phrase,The company conducted a customer satisfaction survey.,公司进行了一项客户满意度调查。,"附加词汇"
low-paying,工资低的,,adjective,He left his low-paying job.,他辞去了那份低薪工作。,"附加词汇"
concern,关心的事,,noun/verb,Safety is our primary concern.,安全是我们首要关心的事。,"附加词汇"
notify,通知，通告,,verb,Please notify us if your address changes.,如果您的地址有变，请通知我们。,"附加词汇"
celebrate,庆祝，祝贺,,verb,They gathered to celebrate her promotion.,他们聚在一起庆祝她晋升。,"附加词汇"
retail,零售(的),,,noun,He works in retail management.,他从事零售管理工作。,"附加词汇"
part,零件,,noun,We need to replace a broken machine part.,我们需要更换一个损坏的机器零件。,"附加词汇"
request,要求，请求,,noun/verb,We received a request for more information.,我们收到了索取更多信息的请求。,"附加词汇"
authority,权力；当局；权威,,noun,She has the authority to sign contracts.,她有权签署合同。,"附加词汇"
appointment,任命，选派；约定,,noun,I have an appointment with the doctor at 3 PM.,我下午3点有个看医生的预约。,"附加词汇"
imply,暗示，进言；必然包含,,verb,His silence seemed to imply consent.,他的沉默似乎暗示同意。,"附加词汇"
endorsement,赞同，认可；宣传；背书,,noun,The product received an endorsement from a celebrity.,该产品得到了某名人的代言。,"附加词汇"
necessarily,必然地；必须地；必要地,,adverb,Expensive items are not necessarily better.,昂贵的物品不一定更好。,"附加词汇"
barely,仅仅，几乎没有；赤裸裸地,,adverb,He barely had enough time to finish the test.,他几乎没有足够的时间完成测试。,"附加词汇"
install,安装,,verb,They will install the new software tomorrow.,他们明天将安装新软件。,"附加词汇"
alarm system,警报系统,,noun,The building is equipped with an alarm system.,大楼配有警报系统。,"附加词汇"
go off,发出响声,,verb phrase,The smoke detector went off.,烟雾探测器响了。,"附加词汇"
enter,输入(信息)；进入,,verb,Please enter your password here.,请在此处输入您的密码。,"附加词汇"
ensure,确保；保证,,verb,Please check to ensure the door is locked.,请检查以确保门锁好了。,"附加词汇"
confirmation call,确认电话,,noun,You will receive a confirmation call before delivery.,您将在配送前收到确认电话。,"附加词汇"
task,任务，作业,,noun,Your primary task is to write reports.,你的主要任务是写报告。,"附加词汇"
complicated,复杂的,,adjective,The instructions were too complicated.,说明书太复杂了。,"附加词汇"
figure out,解决；计算出,,verb phrase,I need to figure out how this machine works.,我需要弄清楚这台机器是如何运作的。,"附加词汇"
on one’s own,独立地，独自地,,phrase,She completed the project on her own.,她独自完成了这个项目。,"附加词汇"
hesitate,犹豫，踌躇,,verb,Do not hesitate to ask if you have questions.,如果您有问题，请尽管问，不要犹豫。,"附加词汇"
hard,艰苦的；困难的,,adjective,It was a hard decision to make.,这是一个艰难的决定。,"附加词汇"
sound,殷实的，资金充实的；健全的,,adjective,The company is in a sound financial position.,公司的财务状况很健全。,"附加词汇"
conference room,会议室,,noun,The meeting is being held in the conference room.,会议正在会议室举行。,"附加词汇"
discuss,讨论,,verb,We need to discuss the new strategy.,我们需要讨论新策略。,"附加词汇"
budget,预算,,noun,We need to stay within our budget.,我们需要控制在预算之内。,"附加词汇"
announce,宣布,,verb,The company announced a new product line.,公司宣布了一条新的产品线。,"附加词汇"
be busy ~ing,忙于做某事,,phrase,She is busy preparing for the presentation.,她正忙着准备演讲。,"附加词汇"
train,训练,,verb,The company trains new employees every month.,公司每个月培训新员工。,"附加词汇"
replacement,接替者,,noun,We are looking for a replacement for John.,我们正在寻找约翰的接替者。,"附加词汇"
mortgage,抵押，按揭,,noun,They applied for a home mortgage.,他们申请了房屋按揭贷款。,"附加词汇"
rate,利率，率,,noun,The bank lowered its interest rate.,银行降低了利率。,"附加词汇"
reveal,透露，泄露,,verb,He refused to reveal the secret.,他拒绝透露这个秘密。,"附加词汇"
cut,削减，降低,,noun/verb,The company announced budget cuts.,公司宣布了预算削减。,"附加词汇"
key,重要的，关键的,,adjective,Communication is key to success.,沟通是成功的关键。,"附加词汇"
across the board,全面地,,phrase,The store announced price cuts across the board.,这家店宣布全面降价。,"附加词汇"
decrease,减少，减小,,noun/verb,There was a decrease in sales this month.,本月销售额有所下降。,"附加词汇"
except for,除…以外,,phrase,Everyone attended the meeting except for Tom.,除了汤姆，大家都参加了会议。,"附加词汇"
lower,降低,,verb,Please lower your voice.,请把声音放低。,"附加词汇"
jump on the wagon,随波逐流,,phrase,Many companies jumped on the digital marketing wagon.,许多公司顺应潮流加入了数字营销行列。,"附加词汇"
plan to do,计划做某事,,phrase,We plan to expand our business overseas.,我们计划将业务扩展到海外。,"附加词汇"
reduce,减少，降低,,verb,We need to reduce costs.,我们需要降低成本。,"附加词汇"
exact,确切的；准确的,,adjective,Can you give me the exact figures?,你能给我准确的数字吗？,"附加词汇"
unknown,未知的,,adjective,The cause of the problem is still unknown.,问题的起因仍然未知。,"附加词汇"
insider,知情人，了解内幕者,,noun,According to an insider, the deal was cancelled.,据内部人士透露，这笔交易被取消了。,"附加词汇"
predict,预计，预言,,verb,Experts predict a rise in inflation.,专家预计通货膨胀率会上升。,"附加词汇"
reduction,减少，降低,,noun,A reduction in staff is expected.,预计将会裁员。,"附加词汇"
similar to,类似于…，与…相似,,phrase,His style is similar to mine.,他的风格和我的很相似。,"附加词汇"
surplus,剩余，盈余,,noun,The country has a trade surplus.,该国拥有贸易顺差。,"附加词汇"
net,净的,,adjective,What is your net income after tax?,你税后的净收入是多少？,"附加词汇"
wealth,财富,,noun,He accumulated great wealth through real estate.,他通过房地产积累了巨大的财富。,"附加词汇"
strategy,策略，战略,,noun,We need a new marketing strategy.,我们需要一个新的营销策略。,"附加词汇"
investment,投资,,noun,Real estate is a good investment.,房地产是一项不错的投资。,"附加词汇"
adviser,顾问,,noun,She works as a financial adviser.,她是一名财务顾问。,"附加词汇"
look to,寻找,,phrase,We are looking to hire a new designer.,我们正打算招一个新设计师。,"附加词汇"
get on the path to,通往…的道路,,phrase,Education helps people get on the path to success.,教育帮助人们走上成功之路。,"附加词汇"
financial,金融的，财务的,,adjective,The company is facing financial difficulties.,公司正面临财务困难。,"附加词汇"
be sure of,对…有把握，确信…,,phrase,I am sure of his honesty.,我确信他是诚实的。,"附加词汇"
take steps,采取步骤，采取措施,,phrase,The government took steps to control inflation.,政府采取了措施控制通货膨胀。,"附加词汇"
existing,现有的,,adjective,We need to improve our existing services.,我们需要改进现有的服务。,"附加词汇"
investment portfolio,投资业务，投资组合,,phrase,He diversified his investment portfolio.,他多元化了他的投资组合。,"附加词汇"
do one’s job,运作；做好自己的工作,,phrase,Everyone must do their job properly.,每个人都必须做好本职工作。,"附加词汇"
shake up,重大调整，重组,,noun,The company announced a major management shake up.,公司宣布了一次重大的管理层重组。,"附加词汇"
middle-income earners,中等收入者,,noun,Tax cuts will benefit middle income earners.,减税将惠及中等收入者。,"附加词汇"
express one’s opinion on,就…发表自己的意见,,phrase,Feel free to express your opinion on this matter.,请就此事畅所欲言。,"附加词汇"
honest,诚实的，坦率的,,adjective,To be honest, I didn't like the movie.,老实说，我不太喜欢这部电影。,"附加词汇"
straightforward,明确的，直接的,,adjective,The instructions were clear and straightforward.,说明书清晰明了。,"附加词汇"
unbiased,没有偏见的,,adjective,We need an unbiased report.,我们需要一份客观公正的报告。,"附加词汇"
support,帮助，支持,,noun/verb,Thank you for your continuous support.,感谢您一直以来的支持。,"附加词汇"
financial goals,财务目标,,phrase,We help clients achieve their financial goals.,我们帮助客户实现他们的财务目标。,"附加词汇"
get ahead on,从…中受益；获得成功,,phrase,Hard work helps you get ahead in life.,努力工作助你在生活中获得成功。,"附加词汇"
effective,有效的,,adjective,This is an effective way to learn English.,这是学习英语的有效方法。,"附加词汇"
investing technique,投资技术,,phrase,He shared his investing techniques with us.,他与我们分享了他的投资技巧。,"附加词汇"
amass,收集，积聚,,verb,He amassed a huge fortune.,他积累了巨额财富。,"附加词汇"
fortune,财富,,noun,She inherited a large fortune.,她继承了一大笔财富。,"附加词汇"
property,资产,,noun,The company owns several pieces of property.,公司拥有几处房产。,"附加词汇"
promote,促进,,verb,The campaign promotes healthy eating.,这项运动倡导健康饮食。,"附加词汇"
cycling,自行车运动,,noun,Cycling is a great way to stay fit.,骑自行车是保持身材的好方法。,"附加词汇"
essential,必要的，必不可少的,,adjective,Water is essential for life.,水是生命必不可少的。,"附加词汇"
element,组成部分，成分,,noun,Trust is a key element of any relationship.,信任是任何关系的关键要素。,"附加词汇"
transportation,运输，交通,,noun,Public transportation is very convenient here.,这里的公共交通非常便利。,"附加词汇"
recognize,认识到,,verb,We must recognize the importance of education.,我们必须认识到教育的重要性。,"附加词汇"
develop,发展，开发,,verb,The city is developing rapidly.,这座城市正在快速发展。,"附加词汇"
development plan,发展计划,,noun,The city council approved the development plan.,市议会批准了发展计划。,"附加词汇"
addition,增加，添加,,noun,The new gym is a great addition to the hotel.,新健身房是酒店的一个绝佳设施。,"附加词汇"
access,通路，进入,,noun/verb,Students have 24-hour access to the library.,学生可以24小时进出图书馆。,"附加词汇"
intention,目的，意图,,noun,It was not my intention to offend you.,我并非有意冒犯你。,"附加词汇"
encourage,鼓励，支持，激励,,verb,Teachers should encourage students to ask questions.,老师应该鼓励学生提问。,"附加词汇"
participation,参与，参加,,noun,Thank you for your active participation.,感谢您的积极参与。,"附加词汇"
in an effort to do,努力做某事,,phrase,They cut prices in an effort to boost sales.,他们降价是为了促进销售。,"附加词汇"
mimic,模仿；像，似,,verb,Some birds can mimic human speech.,有些鸟类能模仿人类说话。,"附加词汇"
benefit,好处，益处,,noun/verb,Regular exercise has many health benefits.,经常锻炼有很多健康益处。,"附加词汇"
such as,例如,,phrase,I like sports such as tennis and swimming.,我喜欢网球和游泳等运动。,"附加词汇"
pollution,污染,,noun,Air pollution is a major problem in big cities.,空气污染是大城市的一个主要问题。,"附加词汇"
traffic congestion,交通堵塞,,noun,Traffic congestion is worst during rush hour.,交通堵塞在高峰时段最严重。,"附加词汇"
advantage,优点，优势；有利条件,,noun,Experience is a big advantage in a job interview.,在面试中经验是一个很大的优势。,"附加词汇"
coordinate,使协调，使搭配,,verb,We need to coordinate our efforts.,我们需要协调各自的努力。,"附加词汇"
interconnect,使互相连接,,verb,All the computers in the office are interconnected.,办公室里的所有电脑都是联网的。,"附加词汇"
surrounding,周围的,,adjective,They explored the surrounding countryside.,他们探索了周围的乡村。,"附加词汇"
setting up,建立，创立,,phrase,They are setting up a new branch office.,他们正在筹建一个新的分公司。,"附加词汇"
provide,提供,,verb,The hotel provides free Wi-Fi for guests.,酒店为客人提供免费无线网络。,"附加词汇"
proposal,建议，提议,,noun,The board of directors approved the proposal.,董事会批准了这项提议。,"附加词汇"
further,更多的，进一步的,,adjective/adverb,For further information, please contact us.,欲了解更多信息，请联系我们。,"附加词汇"
submission,提交，递呈,,noun,The deadline for report submission is Friday.,报告提交的截止日期是周五。,"附加词汇"
form,表单，表格,,noun,Please fill out this application form.,请填写这张申请表。,"附加词汇"
available,可获得的,,adjective,Tickets are available online.,门票可以在网上买到。,"附加词汇"
on behalf of,代表…,,phrase,I am writing on behalf of my company.,我谨代表我的公司写信。,"附加词汇"
would like to do,愿意/意欲做某事,,phrase,I would like to book a room.,我想预订一个房间。,"附加词汇"
hospitality,款待；亲切，殷勤,,noun,Thank you for your wonderful hospitality.,感谢您热情周到的款待。,"附加词汇"
operation,运转，运作,,noun,The factory is back in operation.,这家工厂恢复运营了。,"附加词汇"
setup,设备，装备,,noun,The office has a modern computer setup.,办公室拥有现代化的电脑配置。,"附加词汇"
be impressed with,对…印象深刻,,phrase,We were impressed with her presentation.,她的演讲给我们留下了深刻印象。,"附加词汇"
secure,安全的；可靠的,,adjective,Make sure your password is secure.,确保你的密码是安全的。,"附加词汇"
extend one’s gratitude,表达某人的感激之情,,phrase,I want to extend my gratitude to all of you.,我想向大家表达我的感激之情。,"附加词汇"
in the foreseeable future,在可以预见的未来，在不久的将来,,phrase,Prices will remain stable in the foreseeable future.,在可预见的未来，价格将保持稳定。,"附加词汇"
explore,探索,,verb,They went to explore the ancient city.,他们去探索那座古城。,"附加词汇"
expand,扩展，发展(业务),,,verb,The company plans to expand its overseas market.,公司计划拓展海外市场。,"附加词汇"
synergy,增效作用，协同作用,,noun,Teamwork creates a great synergy.,团队合作创造了巨大的协同效应。,"附加词汇"
pursue,追求，致力于,,verb,She decided to pursue a career in law.,她决定从事法律行业。,"附加词汇"
business partnership,商业伙伴关系,,phrase,They formed a long-term business partnership.,他们建立了长期的商业伙伴关系。,"附加词汇"
look forward to,期待，盼望,,phrase,I look forward to hearing from you soon.,我期待着您的早日回复。,"附加词汇"
response,回答，答复,,noun,We await your prompt response.,我们等待您的迅速回复。,"附加词汇"
celebration,庆祝，庆祝会,,noun,Preparations for the celebration are underway.,庆祝活动的筹备工作正在进行中。,"附加词汇"
opportunity,机会，机遇,,noun,This job is a great opportunity for me.,这份工作对我是个绝佳的机会。,"附加词汇"
exchange,交换,,noun/verb,We exchanged business cards.,我们交换了名片。,"附加词汇"
informal,非正式的，不拘礼的,,adjective,It was an informal meeting among friends.,这是朋友之间的一场非正式会面。,"附加词汇"
atmosphere,气氛,,noun,The restaurant has a cozy atmosphere.,这家餐厅有着温馨的氛围。,"附加词汇"
tradition,传统，惯例,,noun,It is a tradition to eat turkey on Thanksgiving.,感恩节吃火鸡是个传统。,"附加词汇"
superb,极好的,,adjective,The food at the restaurant was superb.,这家餐厅的食物棒极了。,"附加词汇"
functions,社交聚会，宴会,,noun,The hotel hosts various social functions.,这家酒店举办各种社交聚会。,"附加词汇"
convince,说服,,verb,He managed to convince her to join the team.,他设法说服她加入了团队。,"附加词汇"
officially,正式地,,adverb,The new office was officially opened today.,新办公室于今天正式启用。,"附加词汇"
spouse,配偶，夫妻,,noun,Employees can bring their spouses to the party.,员工可以带配偶参加派对。,"附加词汇"
significant,重要的,,adjective,There has been a significant increase in profits.,利润有了显著增长。,"附加词汇"
memorable,值得纪念的，难忘的,,adjective,It was a memorable trip.,这是一次难忘的旅行。,"附加词汇"
yearly,每年的，一年一次的,,adjective,We have a yearly performance review.,我们每年进行一次绩效考核。,"附加词汇"
upcoming,即将来临的,,adjective,We are preparing for the upcoming conference.,我们正在筹备即将到来的会议。,"附加词汇"
sign,签署；在…上签字,,verb,Please sign the document here.,请在这里签署文件。,"附加词汇"
employee,雇员，受雇者,,noun,The company has over 500 employees.,这家公司有500多名员工。,"附加词汇"
yet,尚(未)，还,,adverb,She hasn't finished her report yet.,她还没写完报告。,"附加词汇"
contractor,立约人；承包商,,noun,We hired a contractor to renovate the kitchen.,我们雇了一个承包商来翻修厨房。,"附加词汇"
be aware of,意识到,,phrase,Are you aware of the new rules?,你知道新规定吗？,"附加词汇"
drop by,顺道拜访；造访,,phrase,Feel free to drop by my office anytime.,随时欢迎顺道来我办公室。,"附加词汇"
make it,赶上,,phrase,I'm sorry, but I won't make it to the meeting.,我很抱歉，我赶不上开会了。,"附加词汇"
on time,按时,,phrase,The train arrived right on time.,火车准点到达。,"附加词汇"
co-worker,同事,,noun,She gets along well with her co-workers.,她和同事们相处得很好。,"附加词汇"
workplace,workplace 工作场所,,noun,Safety in the workplace is important.,工作场所的安全很重要。,"附加词汇"
guideline,指南，指导,,noun,Please follow the company guidelines.,请遵循公司的指导方针。,"附加词汇"
address,称呼,,verb,How should I address the manager?,我该如何称呼这位经理？,"附加词汇"
grateful,感谢的，感激的,,adjective,I am very grateful for your help.,非常感谢您的帮助。,"附加词汇"
appropriate,适当的，合适的,,adjective,Wear appropriate clothing for the interview.,面试时请穿合适的衣服。,"附加词汇"
handcraft,手工艺品,,noun,She sells handmade crafts online.,她在网上出售手工艺品。,"附加词汇"
assure,使确信,,verb,I can assure you that the job will be done.,我向你保证工作会完成的。,"附加词汇"
jet-lagged,有时差反应的,,adjective,He felt jet-lagged after the long flight.,长途飞行后他感到有时差反应。,"附加词汇"
registration,登记，注册,,noun,Online registration is required.,需要进行网上注册。,"附加词汇"
paperwork,文书工作,,noun,I have to finish some paperwork before leaving.,我走之前得处理一些文书工作。,"附加词汇"
prompt,迅速的，敏捷的,,adjective,Thank you for your prompt reply.,感谢您的迅速回复。,"附加词汇"
rapport,融洽(关系),,,noun,She builds a good rapport with her clients.,她与客户建立了良好的融洽关系。,"附加词汇"
settle in,安顿下来，适应(新环境),,,phrase,It takes a few days to settle in.,需要几天时间才能安顿下来。,"附加词汇"
equipment,设备，装备,,noun,The office bought new computer equipment.,办公室买新电脑设备了。,"附加词汇"
tailor-made,定做的,,adjective,The suit was tailor-made for him.,这套西装是为他量身定做的。,"附加词汇"
motivated,有积极性的,,adjective,Motivated employees work harder.,有积极性的员工工作更努力。,"附加词汇"
assigned,指定的,,adjective,Please complete your assigned tasks.,请完成你分配到的任务。,"附加词汇"
guidance,指导,,noun,Thank you for your guidance.,谢谢你的指导。,"附加词汇"
treadmill,跑步机,,noun,I run on the treadmill every morning.,我每天早上都在跑步机上跑步。,"附加词汇"
absolutely,完全地；绝对地,,adverb,You are- absolutely right.,你是绝对正确的。,"附加词汇"
affordable,付得起的,,adjective,The restaurant offers affordable meals.,这家餐厅提供价格实惠的餐食。,"附加词汇"
membership,会员资格,,noun,She applied for a gym membership.,她申请了健身房会员。,"附加词汇"
consultation,咨询，请教,,noun,You can book a free consultation.,你可以预约一次免费咨询。,"附加词汇"
athlete,运动员,,noun,The athlete won a gold medal.,这位运动员赢得了一枚金牌。,"附加词汇"
competition,比赛,,noun,She entered a singing competition.,她参加了一场歌唱比赛。,"附加词汇"
nudge,推进，敦促,,verb,He nudged his friend to speak up.,他推了推朋友让他大声说。,"附加词汇"
continuation,延续，继续,,noun,This project is a continuation of our previous work.,这个项目是我们以前工作的延续。,"附加词汇"
lesson,课程,,noun,He takes piano lessons every week.,他每周上钢琴课。,"附加词汇"
personalized,个人化的,,adjective,We offer personalized services.,我们提供个性化服务。,"附加词汇"
vicinity,邻近；接近,,noun,There are several schools in the vicinity.,附近有好几所学校。,"附加词汇"
emergency,紧急情况，突然事件,,noun,In case of an emergency, call 911.,如果遇到紧急情况，请拨打911。,"附加词汇"
developing,(照片)冲印，显影,,noun,The film is ready for developing.,胶卷准备冲洗了。,"附加词汇"
ext.,分机号码,,noun,Please call me at extension 402.,请拨打402分机找我。,"附加词汇"
assistance,帮助，援助,,noun,Do you need any assistance?,你需要帮助吗？,"附加词汇"
luggage,行李,,noun,Please check your luggage before leaving.,离开前请检查您的行李。,"附加词汇"
gym,健身房,,noun,I go to the gym three times a week.,我一周去三次健身房。,"附加词汇"
basement,地下室,,noun,The parking lot is located in the basement.,停车场位于地下室。,"附加词汇"
withdraw,取(款),,,verb,I need to withdraw some money from the ATM.,我需要从自动取款机取点钱。,"附加词汇"
memorandum,备忘录，便笺,,noun,She circulated a memo to all staff.,她向全体员工发了一份备忘录。,"附加词汇"
advertising,广告,,noun,They spend a lot on advertising.,他们在广告上花了很多钱。,"附加词汇"
infant,婴儿，幼儿,,noun,The airline provides special meals for infants.,航空公司为婴儿提供特别餐食。,"附加词汇"
attempt,尝试,,noun/verb,He made an attempt to escape.,他尝试过逃跑。,"附加词汇"
